,Time,W10s_1s,Wds_1s,T2s_1s,Rh2_1s,SLP_1s
0,7/17/2020 18:00,4.214553,15.884102,286.42133,72.597664,1015.7404
1,7/17/2020 18:30,7.8684673,0.5725186,290.22104,47.247414,1013.8704
2,7/17/2020 19:00,11.754633,358.63736,289.05444,58.839443,1013.5885
3,7/17/2020 19:30,12.499801,4.338027,288.12354,66.68638,1013.1181
4,7/17/2020 20:00,10.037353,4.41236,288.27933,61.953064,1012.57166
5,7/17/2020 20:30,10.512979,5.346353,287.39368,66.75288,1011.6756
6,7/17/2020 21:00,10.612587,4.2261753,286.97452,66.54078,1012.38635
7,7/17/2020 21:30,10.621679,7.536111,285.68488,73.862175,1012.82043
8,7/17/2020 22:00,10.32775,9.901324,284.55737,78.050255,1012.9313
9,7/17/2020 22:30,10.395808,9.829521,284.60803,72.97172,1012.8694
10,7/17/2020 23:00,9.057867,9.316925,284.75833,69.08901,1012.8286
11,7/17/2020 23:30,8.588816,5.0270047,284.87085,64.77518,1013.0434
12,7/18/2020 0:00,6.027005,349.64108,284.5947,63.22129,1013.2932
13,7/18/2020 0:30,7.736656,3.8908927,284.86267,60.362156,1013.72107
14,7/18/2020 1:00,7.302398,4.067711,285.02448,57.859673,1013.85187
15,7/18/2020 1:30,6.839494,8.943103,285.38626,53.162125,1013.51843
16,7/18/2020 2:00,7.1257052,12.409041,285.3893,53.278706,1013.4596
17,7/18/2020 2:30,7.577348,13.015583,285.36795,53.413647,1013.4784
18,7/18/2020 3:00,8.769286,13.183915,285.40134,55.03853,1013.4204
19,7/18/2020 3:30,9.479741,13.960134,284.93127,59.81257,1013.19696
20,7/18/2020 4:00,10.294854,14.495286,284.48972,64.39149,1013.0885
21,7/18/2020 4:30,10.469485,13.515033,284.2687,67.444984,1013.11646
22,7/18/2020 5:00,9.956785,12.323845,284.41357,66.215675,1012.63354
23,7/18/2020 5:30,8.849998,10.006334,284.6149,63.41877,1012.29736
24,7/18/2020 6:00,9.071605,10.358684,284.67194,63.06067,1012.457
25,7/18/2020 6:30,9.895276,12.313177,284.52127,65.34241,1012.35376
26,7/18/2020 7:00,10.686735,13.322105,284.32214,67.89578,1012.23016
27,7/18/2020 7:30,10.289608,13.65686,284.35123,68.314926,1012.3484
28,7/18/2020 8:00,9.336199,11.905966,284.27664,68.23347,1012.2146
29,7/18/2020 8:30,8.717864,11.406575,284.57883,65.198784,1012.2153
30,7/18/2020 9:00,8.893649,11.211482,284.89633,61.682007,1012.5921
31,7/18/2020 9:30,8.912967,14.806865,285.06396,59.297894,1013.17944
32,7/18/2020 10:00,9.51067,15.245426,284.9424,61.213284,1013.1851
33,7/18/2020 10:30,9.267355,14.813544,284.828,61.52684,1012.7853
34,7/18/2020 11:00,9.14376,13.866858,284.946,59.95997,1012.73083
35,7/18/2020 11:30,8.163045,13.496648,285.70535,57.905216,1012.6438
36,7/18/2020 12:00,7.989703,12.107523,286.76804,56.379913,1012.5905
37,7/18/2020 12:30,7.5137362,11.318527,288.14813,53.396088,1012.57446
38,7/18/2020 13:00,6.7171326,9.751229,289.9254,43.845642,1012.2686
39,7/18/2020 13:30,6.932679,5.5565963,290.84238,40.49655,1011.97955
40,7/18/2020 14:00,7.23148,5.765049,291.35806,42.207546,1011.9068
41,7/18/2020 14:30,7.4266095,8.52398,291.70197,44.003174,1011.68726
42,7/18/2020 15:00,7.5993714,10.192526,291.94366,45.423134,1011.52924
43,7/18/2020 15:30,7.183273,7.1886306,292.45392,43.735577,1010.9993
44,7/18/2020 16:00,7.548411,7.99471,292.4432,44.980957,1010.6431
45,7/18/2020 16:30,8.856899,10.265786,292.07553,47.164425,1010.29004
46,7/18/2020 17:00,10.163511,12.0324745,291.4647,51.358017,1009.95874
47,7/18/2020 17:30,10.710766,11.3806,291.1669,53.71725,1009.6184
48,7/18/2020 18:00,11.456539,10.451488,290.939,55.15946,1009.80524
49,7/18/2020 18:30,12.1428,8.183785,291.25027,48.716316,1009.6373
50,7/18/2020 19:00,12.293623,8.340888,290.9742,49.417786,1009.6014
51,7/18/2020 19:30,12.091745,7.9328995,290.88144,48.556305,1009.5926
52,7/18/2020 20:00,12.000816,8.542382,290.51068,50.21801,1009.7383
